ISSUER_NAME,MEETING_DATE,MEETING_TYPE,COUNTRY_A2,PROPOSAL_NUMBER,PROPOSAL_SUB_NUMBER,PROPOSAL_LABEL,PROPOSAL_TYPE_CODE,PROPOSAL_TEXT,PROPOSAL_LONGTEXT,RP_PROXY_ID,RP_PROPOSAL_ID,CREATED_DT,VP_Issue_Code,Research_Issue_Code,Proposal_Name
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",24,0,1.24,P,Elect Ghassan Mohamed O. Kashmiri,ELECT GHASSAN KASHMEERI AS DIRECTOR,439335,4226133,2024-02-14 02:26:00,5100,5100,Elect Ghassan Mohamed O. Kashmiri
Crest Nicholson Holdings Plc,2024-03-19 11:00:00,A,"GB        ",3,0,3,P,Elect William Floydd,TO ELECT BILL FLOYDD AS A DIRECTOR,435430,4226560,2024-02-14 02:26:00,5100,5100,Elect William Floydd
Crest Nicholson Holdings Plc,2024-03-19 11:00:00,A,"GB        ",12,0,12,P,Remuneration Report,TO APPROVE THE DIRECTORS REMUNERATION REPORT EXCLUDING THE REMUNERATION       POLICY,435430,4226569,2024-02-14 02:26:00,5600,5600,Remuneration Report
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",5,0,5,P,Elect David Hearn,TO RE-ELECT DAVID HEARN AS A DIRECTOR,435421,4225860,2024-02-14 02:26:00,5100,5100,Elect David Hearn
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",12,0,12,P,Appointment of Auditor,TO RE-APPOINT DELOITTE LLP AS AUDITOR,435421,4225867,2024-02-14 02:26:00,5200,5200,Appointment of Auditor
Outlook Therapeutics Inc,2024-03-07 00:00:00,A,"US        ",9,0,6.,P,Reverse Stock Split,"To approve the amendment of the Restated Certificate to effect a reverse stock split of our issued and outstanding common stock, and a corresponding and proportionate reduction in the number of authorized shares of common stock, at a ratio of 1-for-10 to 1-for-30, to be determined in the sole discretion of the Board of Directors.",436817,4224143,2024-02-14 02:26:00,895,895,Reverse Stock Split
DMG Blockchain Solutions Inc,2024-03-15 00:00:00,A,"US        ",2,0,2,D,Election of Directors,DIRECTOR,439434,4226901,2024-02-14 02:26:00,5100,5100,Election of Directors
Energem Corp,2024-02-28 00:00:00,S,"US        ",1,0,1.,P,The NTA Proposal,"The NTA Amendment Proposal - To consider and vote upon a proposal to approve, as an Special Resolution, to amend Energem s current memorandum and articles of association, immediately prior to the consummation of the proposed Business Combination, to remove the requirements limiting Energem s ability to consummate an initial business combination if Energem would have less than $5,000,001 in net tangible assets prior to or upon consummation of such initial business combination (the  NTA Amendment Proposal ).",439350,4226417,2024-02-14 02:26:00,1185,1185,The NTA Proposal
Power & Digital Infrastructure Acquisition II Corp,2024-03-08 00:00:00,S,"US        ",9,0,3g.,P,Company Name Change,The Governance Proposal: Change of XPDB s Name - To change XPDB s name to  Montana Technologies Corporation.,434822,4219987,2024-02-14 02:26:00,1145,1145,Company Name Change
Power & Digital Infrastructure Acquisition II Corp,2024-03-08 00:00:00,S,"US        ",18,0,7.,P,Approval of the 2024 Employee Stock Purchase Plan,"The Employee Stock Purchase Plan Proposal - To consider and vote upon a proposal to approve and adopt the ESPP (as defined in the proxy statement/prospectus), in the form attached to the proxy statement/prospectus as Annex F (the  Employee Stock Purchase Plan Proposal ).",434822,4217716,2024-02-14 02:26:00,320,320,Approval of the 2024 Employee Stock Purchase Plan
Energem Corp,2024-02-28 00:00:00,S,"US        ",6,0,6.,P,Election of Directors (Slate),"The Director Appointment Proposal - To consider and vote upon a proposal to approve, as an Ordinary Resolution, the appointment of new directors until each such director s successor has been duly elected and qualified, or until each such director s earlier death, resignation, retirement, or removal, which if approved would take effect on and from the Closing Date (the  Director Appointment Proposal ).",439350,4226307,2024-02-14 02:26:00,5101,5101,Election of Directors (Slate)
Abu Dhabi Commercial Bank,2024-03-07 17:00:00,A,"AE        ",14,0,E.2.3,P,Authority to Issue Tier 1 or Tier 2 Capital Instruments,"AUTHORIZE ISSUANCE OF DEBT TIER CAPITAL INSTRUMENTS INCLUDING ADDITIONAL TIER 1 CAPITAL OR SUBORDINATED TIER 2 CAPITAL WITH AN AGGREGATE FACE AMOUNT OF UP  TO USD 2,000,000,000",435219,4227209,2024-02-14 02:26:00,5900,5900,Authority to Issue Tier 1 or Tier 2 Capital Instruments
Kuwait Telecommunications Co.,2024-03-27 11:30:00,O,"KW        ",3,0,3,P,Sharia Supervisory Board Report,APPROVE SHARIAH SUPERVISORY BOARD REPORT FOR FY 2023,434314,4226039,2024-02-14 02:26:00,5032,5032,Sharia Supervisory Board Report
National Mobile Telecommunications Co.,2024-03-07 13:00:00,O,"KW        ",14,0,14,P,Ratification of Board Acts,"DISCUSSING THE RELEASE OF THE MEMBERS OF THE BOARD OF DIRECTORS FROM ALL      MATTERS RELATED TO THEIR FINANCIAL, LEGAL, AND ADMINISTRATIVE ACTIONS FOR THE FISCAL YEAR ENDED 31 DEC 2023",434310,4225117,2024-02-14 02:26:00,5700,5700,Ratification of Board Acts
Mabanee Co,2024-03-07 09:30:00,O,"KW        ",15,0,15,P,Ratification of Board Acts,APPROVE DISCHARGE OF DIRECTORS FOR FY 2023,434328,4225320,2024-02-14 02:26:00,5700,5700,Ratification of Board Acts
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",27,0,1.27,P,Elect Atef Suleiman Al Shahri,ELECT ATIF AL SHIHRI AS DIRECTOR,439335,4226136,2024-02-14 02:26:00,5100,5100,Elect Atef Suleiman Al Shahri
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",29,0,1.29,P,Elect Zaher Abdullah Al Hajjaj,ELECT ZAHIR AL HAJJAJ AS DIRECTOR,439335,4226138,2024-02-14 02:26:00,5100,5100,Elect Zaher Abdullah Al Hajjaj
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",31,0,2,P,"Amendments to Articles ","AMEND ARTICLES OF BYLAWS ACCORDING TO THE NEW COMPANIES  LAW , REARRANGING    AND RENUMBERING OF ARTICLES OF BYLAWS IN ACCORDANCE TO THE PROPOSED           AMENDMENTS",439335,4226139,2024-02-14 02:26:00,6184,6184,"Amendments to Articles "
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",33,0,4,P,"Amendments to Article 11 (Purchasing, Selling and Pledging Shares)","AMEND ARTICLE 11 OF BYLAWS RE: PURCHASE, SALE AND PLEDGING OF COMPANY S       SHARES",439335,4226223,2024-02-14 02:26:00,6180,6180,"Amendments to Article 11 (Purchasing, Selling and Pledging Shares)"
Jersey Electricity Plc,2024-03-05 14:00:00,A,"JE        ",8,0,8,P,Elect Kayte O'Neill,RE-ELECT KAYTE O NEILL AS DIRECTOR,431455,4225018,2024-02-14 02:26:00,5100,5100,Elect Kayte O'Neill
Jersey Electricity Plc,2024-03-05 14:00:00,A,"JE        ",9,0,9,P,Elect Chris Ambler,RE-ELECT CHRISTOPHER AMBLER AS DIRECTOR,431455,4225019,2024-02-14 02:26:00,5100,5100,Elect Chris Ambler
Lyxor International AM,2024-03-11 11:00:00,S,"FR        ",7,0,2,P,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE,APPROVE MERGER BY ABSORPTION OF AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG BY AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF  OF SICAV MULTI UNITS FRANCE,439353,4226186,2024-02-14 02:26:00,6200,6200,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE
Lyxor International AM,2024-03-11 11:00:00,S,"FR        ",7,0,2,P,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE,APPROVE MERGER BY ABSORPTION OF AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG BY AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF  OF SICAV MULTI UNITS FRANCE,439353,4226186,2024-02-14 02:26:00,6200,6200,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",16,0,16,P,Authority to Issue Shares w/o Preemptive Rights,TO AUTHORISE THE DIS-APPLICATION OF PRE-EMPTION RIGHTS,435421,4225871,2024-02-14 02:26:00,5803,5803,Authority to Issue Shares w/o Preemptive Rights
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",17,0,17,P,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment),TO AUTHORISE THE ADDITIONAL DIS-APPLICATION OF PRE-EMPTION RIGHTS,435421,4225872,2024-02-14 02:26:00,5803,5803,Authority to Issue Shares w/o Preemptive Rights (Specified Capital Investment)
Amundi Luxembourg S.A,2024-02-23 11:00:00,A,"LU        ",10,0,9,P,Elect Pierre Jond,"APPOINTMENT OF MR. PIERRE JOND AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT     ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217128,2024-02-14 02:26:00,5100,5100,Elect Pierre Jond
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",10,0,9,P,Elect Pierre Jond,"APPOINTMENT OF MR. PIERRE JOND AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT     ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217128,2024-02-14 02:26:00,5100,5100,Elect Pierre Jond
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",10,0,9,P,Elect Pierre Jond,"APPOINTMENT OF MR. PIERRE JOND AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT     ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217128,2024-02-14 02:26:00,5100,5100,Elect Pierre Jond
Amundi Index Solutions Sicav - Amundi Index US Cor,2024-02-23 11:00:00,A,"LU        ",10,0,9,P,Elect Pierre Jond,"APPOINTMENT OF MR. PIERRE JOND AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT     ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217128,2024-02-14 02:26:00,5100,5100,Elect Pierre Jond
Lyxor International AM,2024-03-11 11:00:00,S,"FR        ",6,0,2,P,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE,APPROVE MERGER BY ABSORPTION OF AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG BY AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF  OF SICAV MULTI UNITS FRANCE,439353,4226186,2024-02-14 02:26:00,6200,6200,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE
Lyxor International AM,2024-03-11 11:00:00,S,"FR        ",6,0,2,P,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE,APPROVE MERGER BY ABSORPTION OF AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG BY AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF  OF SICAV MULTI UNITS FRANCE,439353,4226186,2024-02-14 02:26:00,6200,6200,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE
Lyxor International AM,2024-03-11 11:00:00,S,"FR        ",6,0,2,P,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE,APPROVE MERGER BY ABSORPTION OF AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG BY AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF  OF SICAV MULTI UNITS FRANCE,439353,4226186,2024-02-14 02:26:00,6200,6200,Merger by Absorption of AMUNDI FTSE ITALIA ALL CAP PIR 2020 UCITS ETF OF SICAV MULTI UNITS LUXEMBOURG by AMUNDI FTSE ITALIA PMI PIR 2020 UCITS ETF OF SICAV MULTI UNITS FRANCE
Alkyl Amines Chemicals Ltd.,2024-03-15 10:00:00,X,"IN        ",2,0,1,P,"Elect Ravi Brijmohan Kapoor ",APPOINTMENT OF MR. RAVI BRIJMOHAN KAPOOR (DIN: 01761752) AS AN INDEPENDENT    DIRECTOR OF THE COMPANY FOR A TERM OF FIVE YEARS,439430,4227810,2024-02-14 02:26:00,5100,5100,"Elect Ravi Brijmohan Kapoor "
DMG Blockchain Solutions Inc,2024-03-15 00:00:00,A,"US        ",2,4,2,D,Elect Heather Sim,Heather Sim,439434,4226905,2024-02-14 02:26:00,5100,5100,Elect Heather Sim
"Goldstake Explorations, Inc.",2024-03-15 00:00:00,S,"CA        ",1,0,1,P,"Clay Property Divestiture ","To consider, and if deemed advisable, approve a special resolution (the  Goldstake Transaction Resolution ), the full text of which is set forth in Appendix A to the accompanying joint management information circular (the  Circular ), of Goldstake authorizing the sale (the  Transaction ) of the interests of Goldstake in the Clay Property located in the Larder Lake Mining Division in Ontario, Canada (the  Property ), which represents a sale of all or substantially all of the property of Goldstake in accordance with the terms of the asset purchase agreement dated December 7, 2023 among Goldstake, Transpacific Resources Inc. ( Transpacific ), Gatling Exploration Inc. ( Gatling ), and MAG Silver Corp. ( MAG Silver ) (as amended, supplemented or otherwise modified from time to time, the  Asset Purchase Agreement ), as more particularly described in the Circular.",439440,4229395,2024-02-14 02:26:00,6210,6210,"Clay Property Divestiture "
"Goldstake Explorations, Inc.",2024-03-15 00:00:00,S,"CA        ",1,0,1,P,"Clay Property Divestiture ","To consider, and if deemed advisable, approve a special resolution (the  Goldstake Transaction Resolution ), the full text of which is set forth in Appendix A to the accompanying joint management information circular (the  Circular ), of Goldstake authorizing the sale (the  Transaction ) of the interests of Goldstake in the Clay Property located in the Larder Lake Mining Division in Ontario, Canada (the  Property ), which represents a sale of all or substantially all of the property of Goldstake in accordance with the terms of the asset purchase agreement dated December 7, 2023 among Goldstake, Transpacific Resources Inc. ( Transpacific ), Gatling Exploration Inc. ( Gatling ), and MAG Silver Corp. ( MAG Silver ) (as amended, supplemented or otherwise modified from time to time, the  Asset Purchase Agreement ), as more particularly described in the Circular.",439440,4229395,2024-02-14 02:26:00,6210,6210,"Clay Property Divestiture "
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",6,0,5,P,Elect Nicolas Vauleon,"RENEWAL OF THE MANDATE OF MR. NICOLAS VAULEON AS DIRECTOR OF THE COMPANY      UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217124,2024-02-14 02:26:00,5100,5100,Elect Nicolas Vauleon
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",8,0,7,P,Elect Mehdi Balafrej,"APPOINTMENT OF MR. MEHDI BALAFREJ AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT  ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217126,2024-02-14 02:26:00,5100,5100,Elect Mehdi Balafrej
Amundi Index Solutions Sicav - Amundi Index US Cor,2024-02-23 11:00:00,A,"LU        ",6,0,5,P,Elect Nicolas Vauleon,"RENEWAL OF THE MANDATE OF MR. NICOLAS VAULEON AS DIRECTOR OF THE COMPANY      UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217124,2024-02-14 02:26:00,5100,5100,Elect Nicolas Vauleon
Amundi Index Solutions Sicav - Amundi Index US Cor,2024-02-23 11:00:00,A,"LU        ",8,0,7,P,Elect Mehdi Balafrej,"APPOINTMENT OF MR. MEHDI BALAFREJ AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT  ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217126,2024-02-14 02:26:00,5100,5100,Elect Mehdi Balafrej
DMG Blockchain Solutions Inc,2024-03-15 00:00:00,A,"US        ",2,1,2,D,Elect Sheldon Bennett,Sheldon Bennett,439434,4226902,2024-02-14 02:26:00,5100,5100,Elect Sheldon Bennett
DMG Blockchain Solutions Inc,2024-03-15 00:00:00,A,"US        ",2,3,2,D,Elect John D. Abouchar,John D. Abouchar,439434,4226904,2024-02-14 02:26:00,5100,5100,Elect John D. Abouchar
Power & Digital Infrastructure Acquisition II Corp,2024-03-08 00:00:00,S,"US        ",13,0,4d.,P,Elect Paul Dabbar,Election of Class II Director to serve until the 2025 annual meeting: Paul Dabbar,434822,4219977,2024-02-14 02:26:00,100,100,Elect Paul Dabbar
Currency Exchange International Corp,2024-03-20 15:00:00,A,"US        ",3,0,1.2,P,Elect Chirag Bhavsar,ELECTION OF DIRECTOR: CHIRAG BHAVSAR,436466,4225775,2024-02-14 02:26:00,5100,5100,Elect Chirag Bhavsar
Bank Mandiri (Persero) Tbk PT,2024-03-07 14:00:00,A,"ID        ",1,0,1,P,Accounts and Reports; Partnership and Community Development Program Report,"APPROVAL OF THE ANNUAL REPORT AND RATIFICATION OF THE COMPANY S CONSOLIDATED  FINANCIAL STATEMENTS, APPROVAL OF THE BOARD OF COMMISSIONERS SUPERVISORY TASK REPORT AND RATIFICATION OF THE FINANCIAL STATEMENTS OF THE MICRO AND SMALL    BUSINESS FUNDING PROGRAM (PUMK) FOR THE 2023 FINANCIAL YEAR, AS WELL AS THE   GRANTING OF FULL RELEASE AND DISCHARGE (VOLLEDIG ACQUIT ET DE CHARGE) TO THE  BOARD OF DIRECTORS FOR THE MANAGEMENT ACTIONS OF THE COMPANY AND THE BOARD OF COMMISSIONERS FOR THE SUPERVISORY ACTIONS OF THE COMPANY THAT HAVE BEEN       DEDICATED DURING 2023 FINANCIAL YEAR",436944,4220711,2024-02-14 02:26:00,5030,5030,Accounts and Reports; Partnership and Community Development Program Report
Bank Mandiri (Persero) Tbk PT,2024-03-07 14:00:00,A,"ID        ",8,0,8,P,Election of Directors and/or Commissioners,CHANGES IN THE COMPOSITION OF THE COMPANY S BOARD OF MANAGEMENT,436944,4220718,2024-02-14 02:26:00,5103,5103,Election of Directors and/or Commissioners
National Mobile Telecommunications Co.,2024-03-07 13:00:00,O,"KW        ",2,0,2,P,Directors' Report,DISCUSSING AND APPROVING THE BOARD OF DIRECTORS REPORT FOR THE FISCAL YEAR    ENDED 31 DEC 2023,434310,4225105,2024-02-14 02:26:00,5032,5032,Directors' Report
National Mobile Telecommunications Co.,2024-03-07 13:00:00,O,"KW        ",4,0,4,P,Financial Statements,DISCUSSING AND APPROVING THE FINANCIAL RESULTS FOR THE FISCAL YEAR ENDED 31   DEC 2023,434310,4225107,2024-02-14 02:26:00,5030,5030,Financial Statements
Mabanee Co,2024-03-07 09:30:00,O,"KW        ",2,0,2,P,Auditors' Report,APPROVE AUDITORS  REPORT ON COMPANY FINANCIAL STATEMENTS FOR FY 2023,434328,4225307,2024-02-14 02:26:00,5030,5030,Auditors' Report
Mabanee Co,2024-03-07 09:30:00,O,"KW        ",11,0,11,P,Dividend Record Date and Payment Date,APPROVE THE TIMETABLE OF ALLOCATION OF DIVIDENDS AND AUTHORIZE BOARD TO       DISTRIBUTE BONUS SHARE AND DISPOSE OF FRACTION SHARES,434328,4225316,2024-02-14 02:26:00,5000,5000,Dividend Record Date and Payment Date
Sparebanken Ost,2024-02-23 10:00:00,A,"NO        ",5,0,1,P,Election of Supervisory Board Members,"ELECT TOM ROMER SVENDSEN, GRY JANNE RUGAS, SISSEL DITLEFSEN AND RIGMOR S.     BERNTSEN AS MEMBERS OF COMMITTEE OF REPRESENTATIVES",430896,4225325,2024-02-14 02:26:00,5115,5115,Election of Supervisory Board Members
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",16,0,1.16,P,Elect Abdulaziz Mohamed A. Al Sudais,ELECT ABDULAZEEZ AL SUDEES AS DIRECTOR,439335,4226125,2024-02-14 02:26:00,5100,5100,Elect Abdulaziz Mohamed A. Al Sudais
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",38,0,9,P,Amendments to NomRem Committee Charter,AMEND REMUNERATION AND NOMINATION COMMITTEE CHARTER,439335,4226141,2024-02-14 02:26:00,6184,6184,Amendments to NomRem Committee Charter
Jersey Electricity Plc,2024-03-05 14:00:00,A,"JE        ",4,0,4,P,Elect Alan Bryce,RE-ELECT ALAN BRYCE AS DIRECTOR,431455,4225014,2024-02-14 02:26:00,5100,5100,Elect Alan Bryce
Yandex NV,2024-03-07 16:00:00,S,"NL        ",3,0,1,P,Sale of Yandex Russia,APPROVAL OF THE RESOLUTION OF THE BOARD TO ENTER INTO AND APPROVE THE TERMS   OF THE SALE,439355,4226602,2024-02-14 02:26:00,6210,6210,Sale of Yandex Russia
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",4,0,4,P,Elect Avis Joy Darzins,TO ELECT AVIS DARZINS AS A DIRECTOR,435421,4225859,2024-02-14 02:26:00,5100,5100,Elect Avis Joy Darzins
Amundi Luxembourg S.A,2024-02-23 11:00:00,A,"LU        ",6,0,5,P,Elect Nicolas Vauleon,"RENEWAL OF THE MANDATE OF MR. NICOLAS VAULEON AS DIRECTOR OF THE COMPANY      UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217124,2024-02-14 02:26:00,5100,5100,Elect Nicolas Vauleon
Amundi Luxembourg S.A,2024-02-23 11:00:00,A,"LU        ",8,0,7,P,Elect Mehdi Balafrej,"APPOINTMENT OF MR. MEHDI BALAFREJ AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT  ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217126,2024-02-14 02:26:00,5100,5100,Elect Mehdi Balafrej
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",6,0,5,P,Elect Nicolas Vauleon,"RENEWAL OF THE MANDATE OF MR. NICOLAS VAULEON AS DIRECTOR OF THE COMPANY      UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217124,2024-02-14 02:26:00,5100,5100,Elect Nicolas Vauleon
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",8,0,7,P,Elect Mehdi Balafrej,"APPOINTMENT OF MR. MEHDI BALAFREJ AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT  ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217126,2024-02-14 02:26:00,5100,5100,Elect Mehdi Balafrej
Abu Dhabi Commercial Bank,2024-03-07 17:00:00,A,"AE        ",10,0,O.10,P,Appointment of Auditor and Authority to Set Fees,RATIFY AUDITORS AND FIX THEIR REMUNERATION FOR FY 2024,435219,4226220,2024-02-14 02:26:00,5220,5220,Appointment of Auditor and Authority to Set Fees
WithSecure Corp,2024-03-20 15:00:00,A,"FI        ",22,0,19,P,Authority to Issue Shares w/ or w/o Preemptive Rights,AUTHORISING THE BOARD OF DIRECTORS TO RESOLVE ON THE ISSUANCE OF SHARES AS    WELL AS THE ISSUANCE OF OPTIONS AND OTHER SPECIAL RIGHTS ENTITLING TO SHARE,431665,4225668,2024-02-14 02:26:00,5804,5804,Authority to Issue Shares w/ or w/o Preemptive Rights
Alandalus Property Company,2024-03-06 18:30:00,S,"SA        ",28,0,1.28,P,Elect Ahmed Kader Al Baqshi,ELECT AHMED AL BAQSHI AS DIRECTOR,439335,4226137,2024-02-14 02:26:00,5100,5100,Elect Ahmed Kader Al Baqshi
Safestore Hldgs Plc,2024-03-13 12:00:00,A,"GB        ",15,0,15,P,Authority to Issue Shares w/ Preemptive Rights,TO AUTHORISE THE DIRECTORS TO ALLOT RELEVANT SECURITIES,435421,4225870,2024-02-14 02:26:00,5800,5800,Authority to Issue Shares w/ Preemptive Rights
Amundi Luxembourg S.A,2024-02-23 11:00:00,A,"LU        ",12,0,11,P,Elect Alan Guy,"APPOINTMENT OF MR. ALAN GUY AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217130,2024-02-14 02:26:00,5100,5100,Elect Alan Guy
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",12,0,11,P,Elect Alan Guy,"APPOINTMENT OF MR. ALAN GUY AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217130,2024-02-14 02:26:00,5100,5100,Elect Alan Guy
Amundi Index Solutions Sicav - Amundi Msci USA ESG,2024-02-23 11:00:00,A,"LU        ",12,0,11,P,Elect Alan Guy,"APPOINTMENT OF MR. ALAN GUY AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217130,2024-02-14 02:26:00,5100,5100,Elect Alan Guy
Amundi Index Solutions Sicav - Amundi Index US Cor,2024-02-23 11:00:00,A,"LU        ",12,0,11,P,Elect Alan Guy,"APPOINTMENT OF MR. ALAN GUY AS DIRECTOR OF THE COMPANY, UNTIL THE NEXT ANNUAL GENERAL MEETING OF SHAREHOLDERS, TO BE HELD IN 2025",434556,4217130,2024-02-14 02:26:00,5100,5100,Elect Alan Guy
DMG Blockchain Solutions Inc,2024-03-15 00:00:00,A,"US        ",3,0,3,P,Appointment of Auditor and Authority to Set Fees,Appointment of Kingston Ross Pasnak LLP as Auditors of the Company for the ensuing year and authorizing the Directors to fix their remuneration.,439434,4226906,2024-02-14 02:26:00,5220,5220,Appointment of Auditor and Authority to Set Fees
