PROPOSAL_LONGTEXT,Research_Issue_Code
AMENDMENT OF ARTICLES OF INCORPORATION ARTICLE 14,6185
RE-ELECT BILL HOLLAND AS DIRECTOR OF THE COMPANY,5100
TO CONSIDER AND APPROVE THE INTERNAL SHARIA SUPERVISION COMMITTEE REPORT IN   RESPECT OF THE BANKS ISLAMIC BANKING WINDOW FOR THE YEAR ENDED 31 DEC 2023,5032
TO DISCUSS AND APPROVE THE BANKS BALANCE SHEET AND PROFIT AND LOSS STATEMENTS FOR THE FINANCIAL YEAR ENDED 31 DEC 2023,5030
RATIFY DELOITTE AS AUDITOR,5200
TO APPROVE THE RENEWAL TO ISSUE NON CONVERTIBLE BONDS UNDER THE BANKS         EXISTING MEDIUM TERM NOTES PROGRAMME OR CREATE NEW PROGRAMMES TO ISSUE        ISLAMIC SUKUK OR BONDS OR OTHER SECURITIES NON CONVERTIBLE INTO SHARES FOR A  TOTAL AMOUNT NOT EXCEEDING USD 2 BILLION,5900
"The Adjournment Proposal - TO APPROVE, AS AN ORDINARY RESOLUTION, THE ADJOURNMENT OF THE EXTRAORDINARY GENERAL MEETING TO A LATER DATE OR DATES, IF NECESSARY, TO PERMIT FURTHER SOLICITATION AND VOTE OF PROXIES IF, BASED UPON THE TABULATED VOTE AT THE TIME OF THE EXTRAORDINARY GENERAL MEETING, THERE ARE INSUFFICIENT CLASS A ORDINARY SHARES AND CLASS B ORDINARY SHARE OF THE COMPANY (REPRESENTED EITHER IN PERSON OR BY PROXY) TO APPROVE THE FOREGOING PROPOSALS.",710
"APPROVE REMUNERATION OF DIRECTORS IN THE AMOUNT OF DKK 600,000 FOR CHAIR, DKK 375,000 FOR VICE CHAIR AND DKK 275,000 FOR OTHER DIRECTORS; APPROVE           REMUNERATION FOR COMMITTEE WORK",5505
"TO PARTIALLY AMEND THE BYLAWS IN HEADING OF ARTICLE 12, DUE TO THE REDUCTION  OF THE MINIMUM AND MAXIMUM NUMBER OF THE MEMBERS IN THE BOARD OF EXECUTIVE    OFFICERS AND THE RENAMING OF THE POSITIONS",6180
AUTHORISE ISSUE OF EQUITY WITHOUT PRE-EMPTIVE RIGHTS,5803
AUTHORISE MARKET PURCHASE OF ORDINARY SHARES,5838
AUTHORIZATION TO ENTER INTO SWAP AGREEMENTS DURING THE FISCAL YEAR 2024 AND   RENEWAL OF THE EXISTING SWAP AGREEMENTS,5740
"RESOLUTION ON THE REMUNERATION OF THE MEMBERS OF THE BOARD OF DIRECTORS:      SHAREHOLDERS WHO REPRESENT APPROXIMATELY 80 PERCENT OF THE VOTING RIGHTS OF   THE SHARES IN THE COMPANY PROPOSE THAT THE AMOUNT OF THE REMUNERATION PAYABLE TO THE MEMBERS OF THE BOARD, THE CHAIRMEN OF THE BOARD COMMITTEES AND THE     CHAIRMAN OF THE BOARD WOULD REMAIN UNCHANGED. THE AMOUNTS PAYABLE TO MEMBERS  OF THE BOARD WOULD BE EUR 5,000.00 PER MONTH, TO THE CHAIRMEN OF THE BOARD    COMMITTEES EUR 6,000.00 PER MONTH AND TO THE CHAIRMAN OF THE BOARD OF         DIRECTORS EUR 7,500.00 PER MONTH",5505
PROPOSAL BY THE BOARD OF DIRECTORS TO ESTABLISH A SHAREHOLDERS  NOMINATION    BOARD,5125
RESOLUTION ON THE DISTRIBUTION OF PROFITS AS RECORDED IN THE ADOPTED ANNUAL   REPORT,5000
PROPOSALS FROM THE BOARD OF DIRECTOR: AUTHORIZATION TO THE BOARD OF DIRECTORS TO LET THE COMPANY ISSUE WARRANTS,5808
PROPOSALS FROM THE BOARD OF DIRECTOR: AUTHORIZATION TO THE BOARD OF DIRECTORS TO MANDATE THE COMPANY TO ACQUIRE TREASURY SHARES,5838
ELECT ALLAN KIENAST AS MEMBER OF COMMITTEE OF REPRESENTATIVES,5115
"TO AUTHORIZE THE BOARD OF DIRECTORS TO ISSUE ANY TYPE OF BONDS OR ISLAMIC     SUKUK OR OTHER SECURITIES IN EACH CASE NON CONVERTIBLE INTO SHARES OR         ESTABLISH OR UPDATE ANY PROGRAMME FOR AN AMOUNT NOT EXCEEDING USD 2 BILLION   AS SET OUT ABOVE, AND TO DETERMINE THE TERMS OF ISSUING SUCH BONDS, ISLAMIC   SUKUK OR OTHER SECURITIES, INCLUDING THE DATE OF ISSUANCE WHICH SHALL NOT     EXCEED ONE YEAR FROM THE DATE OF THIS AUTHORIZATION, SUBJECT TO OBTAINING ALL RELEVANT APPROVALS FROM THE RELEVANT REGULATORY AUTHORITIES",5900
APPOINTMENT OF MR. SUDHAKAR PENNAM (DIN NO.05350817) AS NON-EXECUTIVE         DIRECTOR OF THE COMPANY,5100
RATIFY THE APPOINTMENT OF KPMG AUDITORES INDEPENDENTES TO PREPARE BRAMS       EQUITY VALUATION REPORT OF BRAM,6201
"TO PARTIALLY AMEND THE BYLAWS, IN THE HEAD OF ARTICLE 13, ADAPTING THE        WORDING DUE TO THE EXCLUSION OF PARAGRAPH 4 OF THIS ARTICLE WHICH IS BEING    PROPOSED",6180
"Appoint a Director who is not Audit and Supervisory Committee Member          Hashimoto, Isao",5100
ELECTION OF INSIDE DIRECTOR: LEE IL SOO,5100
APPROVAL OF LIMIT OF REMUNERATION FOR DIRECTORS,5500
APPOINT DELOITTE LLP AS AUDITORS,5200
ADVISORY VOTE ON THE COMPENSATION REPORT,5600
Election of Director - Alain Miquelon,5100
Election of Director - Alain Miquelon,5100
TO APPROVE THE REMUNERATION OF THE BOARD OF DIRECTORS FOR THE FINANCIAL YEAR  ENDED 31 DEC 2023,5500
TO ELECT MEMBERS OF THE BOARD OF DIRECTORS FOR THE TERM 2024 TO 2027,5101
"TO APPROVE THE COMPANY S 10% ROLLING STOCK OPTION PLAN, AS MORE PARTICULARLY  SET OUT IN THE CIRCULAR",5310
Mary L. Little,5100
"TO PARTIALLY AMEND THE BYLAWS IN PARAGRAPH 2 OF ARTICLE 8, ADAPTING THE       WORDING TO THE CURRENT PRACTICES OF THE BOARD OF DIRECTORS MEETINGS",6180
"TO PARTIALLY AMEND THE BYLAWS IN ARTICLE 15, CHANGING THE FREQUENCY OF THE    ORDINARY MEETINGS OF THE BOARD OF EXECUTIVE OFFICERS",6180
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS,5030
APPROVAL OF THE PROPOSED PROFIT DISTRIBUTION LIST FOR THE FISCAL YEAR ENDING  ON 31/12/2023,5000
FORMATION OF THE COMPANY BOARD OF DIRECTORS FOR THE UPCOMING TERM 2024-2026,5101
ACCEPT FINANCIAL STATEMENTS AND STATUTORY REPORTS,5030
DIRECTOR,5100
Mary L. Little,5100
DIRECTOR,5100
Approve Share Consolidation,5842
ELECT MICHAEL B. CHRISTENSEN AS MEMBER OF COMMITTEE OF REPRESENTATIVES,5115
Raul Benavides,5100
"TO PARTIALLY AMEND THE BYLAWS IN ARTICLE 9, WHICH DEALS WITH THE ATTRIBUTIONS AND DUTIES OF THE BOARD OF DIRECTORS IN LETTER F, ADAPTING THE WORDING FOR    CONTEMPLATE THE RENUMBERING OF PARAGRAPH 6 OF ARTICLE 6 TO PARAGRAPH 7",6180
"TO PARTIALLY AMEND THE BYLAWS, EXCLUDING PARAGRAPH 4 OF ARTICLE 13, GIVING    MORE FLEXIBILITY TO THE COMPANY REPRESENTATION",6180
"Appoint a Director who is Audit and Supervisory Committee Member Arisawa,     Kazuhisa",5130
PROPOSALS FROM THE BOARD OF DIRECTORS FOR: ADJUSTMENT OF BOARD REMUNERATION,5505
TO APPROVE THE DIRECTORS REMUNERATION POLICY 2024,5605
Election of Director - Joseph Zakher,5100
Election of Director - Joseph Zakher,5100
To set the number of directors at seven.,5170
To set the number of directors at seven.,5170
Raul Benavides,5100
TO CONSIDER AND APPROVE THE BOARD OF DIRECTORS REPORT ON THE BANKS ACTIVITIES AND FINANCIAL POSITION FOR THE FINANCIAL YEAR ENDED 31 DEC 2023,5032
APPROVE ALLOCATION OF INCOME AND DIVIDENDS,5000
"TO PARTIALLY AMEND THE BYLAWS IN ARTICLE 9, WHICH DEALS WITH THE ATTRIBUTIONS AND DUTIES OF THE BOARD OF DIRECTORS, INCLUDING LETTER T, WHICH DEALS WITH    THE RESOLUTION ON TRANSACTIONS WITH RELATED PARTIES",6180
TO APPROVE APPOINTMENT OF MRS. RENU SUD KARNAD (DIN: 00008064) AS NON -       EXECUTIVE INDEPENDENT DIRECTOR ON THE BOARD OF THE COMPANY FOR A TERM OF FIVE (5) CONSECUTIVE YEARS WITH EFFECT FROM 05TH JANUARY 2024,5100
AUTHORIZATION OF THE CHAIR OF THE GENERAL MEETING TO REGISTER RESOLUTIONS     PASSED BY THE GENERAL MEETING,5750
REELECT MARIANNE KIRKEGAARD AS DIRECTOR,5100
The adjournment proposal.,710
"To approve the potential issuance of shares of Common Stock underlying convertible notes and warrants, in an amount in excess of 19.99% of the Company s outstanding Common Stock before the issuance of such convertible notes, as required by and in accordance with Nasdaq Listing Rule 5635(d), pursuant to (i) the terms of those certain Securities Purchase Agreements, dated January 29, 2024, by and between the Company and the purchasers named therein and (ii) the terms of warrants to purchase shares of Common Stock, respectively.",860
"Trust Agreement Amendment Proposal - AS A SPECIAL RESOLUTION, THE AMENDMENT OF THE INVESTMENT MANAGEMENT TRUST AGREEMENT DATED JULY 6, 2021, AS AMENDED, BY AND BETWEEN THE COMPANY AND CONTINENTAL STOCK TRANSFER & TRUST COMPANY TO ALLOW THE COMPANY TO ADVANCE THE DATE BY WHICH THE COMPANY MUST CONSUMMATE A BUSINESS COMBINATION FROM JULY 6, 2024 TO FEBRUARY 21, 2024. A copy of the Amendment is attached to the proxy statement as Annex B.",1230
REALIZATION REPORT OF THE USE OF UTILIZATION OF PROCEEDS FROM ADDITIONAL      CAPITAL WITH PRE-EMPTIVE RIGHTS LIMITED PUBLIC OFFERING II (PMHMETD II),6395
AUTHORIZE SHARE REPURCHASE PROGRAM,5838
APPROVE GUIDELINES FOR INCENTIVE-BASED COMPENSATION FOR EXECUTIVE MANAGEMENT  AND BOARD,5605
APPROPRIATION OF THE COMPANY S NET PROFIT FOR THE FINANCIAL YEAR ENDED ON 31  DECEMBER 2023,5000
TO SET THE NUMBER OF DIRECTORS AT FOUR (4),5170
APPROVAL OF REMUNERATION FOR DIRECTOR,5500
RE-ELECT DAVID BARRON AS DIRECTOR,5100
APPROVAL OF THE BOARD OF DIRECTORS REPORT ON THE COMPANY ACTIVITIES AND THE   GOVERNANCE REPORT FOR THE FISCAL YEAR ENDING ON 31/12/2023,5032
PRESENTATION OF THE AUDITORS REPORT ON THE FINANCIAL STATEMENTS FOR THE       FISCAL YEAR ENDED ON 31/12/2023: THE COMPANY AUDITOR REPORT,5759
AMENDMENT OF ARTICLES OF INCORPORATION ARTICLE 12,6185
Pieter Britz,5100
Pieter Britz,5100
APPROVAL OF FINANCIAL STATEMENT,5031
AUTHORISE ISSUE OF EQUITY,5800
"ALTERATION OF ARTICLES OF ASSOCIATION: TO DELETE THE ENTIRE CLAUSES NOS. 89   (I) TO 92.17, INCLUDING THE ENTIRE FIRST SCHEDULE - PART - A & PART - B UPTO  SL. NO 26, APPEARING IN THE ARTICLES OF ASSOCIATION OF THE COMPANY",6185
ALTERATION OF MEMORANDUM OF ASSOCIATION: TO ADD THE  BORROWING CLAUSE  AS SL. NO.19 UNDER SL. NO. B - MATTERS WHICH ARE NECESSARY FOR FURTHERANCE OF THE    OBJECTS SPECIFIED IN CLAUSE III (A),6185
"Appointment of D&H Group LLP, Chartered Professional Accountants, as the auditor of the Company for the ensuing year at a remuneration to be fixed by the directors.",5220
"To consider and, if thought fit, to pass an ordinary resolution to ratify and approve the Company s Stock Option Plan, as more particularly described in the Management Information Circular dated February 6, 2024.",5310
"Appointment of D&H Group LLP, Chartered Professional Accountants, as the auditor of the Company for the ensuing year at a remuneration to be fixed by the directors.",5220
"To consider and, if thought fit, to pass an ordinary resolution to ratify and approve the Company s Stock Option Plan, as more particularly described in the Management Information Circular dated February 6, 2024.",5310
APPROVAL OF THE AMENDMENTS OF THE COMPANYS ARTICLES OF ASSOCIATION,6185
TO CONSIDER AND APPROVE THE EXTERNAL AUDITORS REPORT ON THE BANKS BALANCE     SHEET AND FINANCIAL POSITION FOR THE FINANCIAL YEAR ENDED 31 DEC 2023,5030
TO APPROVE THE APPOINTMENT OF THE MEMBERS OF THE INTERNAL SHARIA SUPERVISION  COMMITTEE,5136
"APPROVAL FOR FURTHER INVESTMENT OF UP TO INR900 CRORE (RUPEES NINE HUNDRED    CRORE) IN GODREJ CAPITAL LIMITED, SUBSIDIARY COMPANY",6220
APPOINTMENT OF THE AUDITOR FOR THE FISCAL YEAR 2024 AND SPECIFYING HIS FEES,5220
PROPOSALS FROM THE BOARD OF DIRECTOR: APPROVAL OF THE BOARD OF DIRECTORS      REMUNERATION FOR 2024,5505
PROPOSALS FROM THE BOARD OF DIRECTOR: AMENDMENT OF THE ARTICLES OF            ASSOCIATION (INDEMNIFICATION SCHEME),6185
AMEND ARTICLES RE: TRAVEL ALLOWANCE FOR BOARD MEMBERS,5505
AUTHORIZE SHARE REPURCHASE PROGRAM,5838
DIRECTORS AUTHORITY TO ALLOT SHARES,5800
"TO DISCHARGE THE EXTERNAL AUDITORS FROM LIABILITY FOR THE FINANCIAL YEAR      ENDED 31 DEC 2023 OR TO DISMISS THE AUDITORS AND TO FILE THE LIABILITY CLAIM  AGAINST THEM, AS THE CASE MAY BE",5250
APPROVAL OF BONDADA ENGINEERING LIMITED - EMPLOYEE STOCK OPTION PLAN 2024     ( BEL-ESOP 2024 ),5300
"TO PARTIALLY AMEND THE BYLAWS I ARTICLE 9, WHICH DEALS WITH THE ATTRIBUTIONS  AND DUTIES OF THE BOARD OF DIRECTORS IN LETTER I, EXCLUDING THE NEED TO       SUBMIT A PROPOSAL TO THE SHAREHOLDERS MEETING TO INCREASE THE CAPITAL STOCK   ISSUING NEW SHARES, DUE TO THE PROVISION FOR AUTHORIZED CAPITAL",6180
RE-APPOINTMENT OF MRS. VARSHA VASANT PURANDARE (DIN: 05288076) AS AN          INDEPENDENT DIRECTOR OF THE COMPANY,5100
ELECT JAKOB SCHIOTT AS MEMBER OF COMMITTEE OF REPRESENTATIVES,5115
APPROVAL OF THE REVISED RECOVERY PLAN OF THE COMPANY,6395
ELECTION OF DIRECTOR: WALTER COLES JR,5100
"TO PARTIALLY AMEND THE BYLAWS, EXCLUDING ARTICLES 18 AND 19 AND RENUMBERING   THE OTHERS, IN ORDER TO FLEXIBLE THE MOVE UP OR HIRING OF PROFESSIONALS FOR   EXECUTIVE BOARD POSITIONS",6184
"TO PARTIALLY AMEND THE BYLAWS IN PARAGRAPH 6 OF ARTICLE 23 RENUMBERED TO      ARTICLE 21, IMPROVING ITS WORDING",6180
APPROVAL OF LIMIT OF REMUNERATION,5520
RE-ELECT ALICE RYDER AS DIRECTOR,5100
APPROVAL OF THE FINANCIAL STATEMENTS FOR THE FISCAL YEAR ENDED ON 31/12/2023,5030
ELECTION OF MEMBER OF THE BOARD OF DIRECTOR: RE-ELECTION OF ROLF HOFFMANN,5100
ELECTION OF MEMBER OF THE BOARD OF DIRECTOR: RE-ELECTION OF DR. PAOLO         PAOLETTI,5100
ELECTION OF AUDITOR: ELECTION OF DELOITTE STATSAUTORISERET                    REVISIONSPARTNERSELSKAB,5200
APPROVE REMUNERATION OF DIRECTORS,5505
AMEND REMUNERATION POLICY (SHORT-TERM INCENTIVE PLAN),5605
AUTHORIZE EDITORIAL CHANGES TO ADOPTED RESOLUTIONS IN CONNECTION WITH         REGISTRATION WITH DANISH AUTHORITIES,5750
AUTHORITY TO MAKE MARKET PURCHASES OF THE COMPANY S OWN SHARES,5838
APPROVAL OF THE ANNUAL REPORT INCLUDING THE COMPANY S FINANCIAL STATEMENTS    AND THE BOARD OF COMMISSIONERS REPORT ON ITS SUPERVISORY DUTIES FOR THE       FINANCIAL YEAR ENDED ON 31 DECEMBER 2023 AND GRANT OF RELEASE AND DISCHARGE   OF LIABILITY (ACQUIT ET DECHARGE) TO ALL MEMBERS OF THE BOARD OF DIRECTORS    FOR THEIR MANAGEMENT ACTIONS AND TO ALL MEMBERS OF THE BOARD OF COMMISSIONERS OF THE COMPANY FOR THEIR SUPERVISORY ACTIONS DURING THE FINANCIAL YEAR ENDED  ON 31 DECEMBER 2023,5030
"TO PARTIALLY AMEND THE BYLAWS IN ARTICLE 9, WHICH DEALS WITH THE ATTRIBUTIONS AND DUTIES OF THE BOARD OF DIRECTORS IN LETTER J, RENUMBERING THE OTHERS,     WHICH DEALS WITH THE RESOLUTION OF THE CAPITAL STOCK INCREASE WITHIN THE      PROPOSED LIMIT OF AUTHORIZED CAPITAL",6180
RE-ELECT MELANIE ROBERTS AS DIRECTOR,5100
ELECT SOLOMON SOQUAR AS DIRECTOR,5100
EXONERATION OF THE BOARD OF DIRECTORS FROM LIABILITY FOR THE FISCAL YEAR      ENDING IN 2023,5700
PROPOSALS FROM THE BOARD OF DIRECTOR: AUTHORIZATIONS TO THE BOARD OF          DIRECTORS TO INCREASE THE SHARE CAPITAL OF THE COMPANY AND TO LET THE COMPANY ISSUE CONVERTIBLE DEBT INSTRUMENTS,5809
REELECT BIRGITTA STYMNE GORANSSON AS DIRECTOR,5100
ELECTION OF AUDITOR FOR THE ANNUAL REPORT 2024 AND THE SUSTAINABILITY REPORT  2024. THE BOARD PROPOSES RE-ELECTION OF EY GODKENDT REVISIONSPARTNERSELSKAB   AS THE COMPANYS AUDITOR,5200
APPROVE DKK 7 MILLION REDUCTION IN SHARE CAPITAL VIA SHARE CANCELLATION;      AMEND ARTICLES ACCORDINGLY,5820
AMENDMENT OF ARTICLES OF INCORPORATION ADDITION OF ARTICLE 2,6185
Election of Director - Philippe Meunier,5100
Election of Director - Philippe Meunier,5100
ELECT RIKKE LEHMANN LUNDSBJERG AS MEMBER OF COMMITTEE OF REPRESENTATIVES,5115
APPROVE THE BOARD OF DIRECTORS DECISION FOR RATIFYING MANAGEMENTS ACTION IN   RELATION TO SUSPENDING THE DEDUCTION FROM THE PROFIT FOR THE YEARS 2016 TO    2022 FOR THE PURPOSE OF CONTRIBUTING TO THE BANKS VOLUNTARY RESERVE ACCOUNT,5844
"TO PARTIALLY AMEND THE BYLAWS, DUE TO THE CHANGE OF THE NUMBER OF THE BOARD   OF DIRECTORS ORDINARY MEETINGS IN THE HEADING OF ARTICLE 11",6180
AUTHORISE THE AUDIT AND MANAGEMENT ENGAGEMENT COMMITTEE TO FIX REMUNERATION   OF AUDITORS,5230
"ELECTION OF THE AUDITOR: THE BOARD OF DIRECTORS PROPOSES TO THE ANNUAL        GENERAL MEETING THAT THE AUDITING FIRM ERNST & YOUNG OY (EY) BE ELECTED AS    AUDITOR, WITH MIIKKA HIETALA (APA) AS THE PRINCIPALLY RESPONSIBLE AUDITOR",5200
AUTHORIZING THE BOARD OF DIRECTORS TO DECIDE ON THE ACQUISITION OF THE        COMPANY S OWN SHARES,5838
TO APPROVE MATERIAL RELATED PARTY TRANSACTION(S) PROPOSED TO BE ENTERED INTO  BY AND BETWEEN THE SUBSIDIARIES OF THE COMPANY,5740
TO APPROVE MATERIAL RELATED PARTY TRANSACTION(S) PROPOSED TO BE ENTERED INTO  BY THE COMPANY,5740
PRESENTATION AND ADOPTION OF THE AUDITED ANNUAL REPORT AND DISCHARGE OF BOARD OF DIRECTORS AND EXECUTIVE MANAGEMENT,5031
APPROVE DISCHARGE OF MANAGEMENT AND BOARD,5700
AMENDMENT OF ARTICLES OF INCORPORATION ARTICLE 10-1,6185
AMENDMENT OF ARTICLES OF INCORPORATION ARTICLE 30,6185
RE-ELECT BARRY GILBERTSON AS DIRECTOR OF THE COMPANY,5100
"ELECTION OF MEMBERS OF THE BOARD OF DIRECTORS: SHAREHOLDERS WHO REPRESENT     APPROXIMATELY 80 PERCENT OF THE VOTING RIGHTS OF THE SHARES IN THE COMPANY    PROPOSE THAT THE PRESENT MEMBERS CHRISTINA DAHLBLOM, FREDRIK HACKLIN, SARI    HELANDER, ROBERT INGMAN, AND ANTTI KULJUKKA BE RE-ELECTED AS MEMBERS OF THE   BOARD OF DIRECTORS AND THAT TOMI NARHINEN WOULD BE ELECTED AS A NEW MEMBER.   HENRIK ANDERSIN HAS ANNOUNCED THAT HE IS NO LONGER AVAILABLE TO SERVE ON THE  BOARD OF DIRECTORS OF THE COMPANY. ALL CANDIDATES HAVE GIVEN THEIR CONSENT TO THE ELECTION. THE NOMINEES  INFORMATION IS AVAILABLE ON THE COMPANY S WEBSITE WWW.EVLI.COM/AGM2024",5101
ELECTION OF MEMBER FOR THE BOARD OF DIRECTOR: RE-ELECTION OF IAN MCINTOSH,5100
PROPOSALS FROM THE BOARD OF DIRECTORS FOR: REMUNERATION POLICY FOR APPROVAL   INCLUDING UPDATE OF PROVISION ON EXTRAORDINARY BONUS FOR MANAGEMENT IN        EXCEPTIONAL CIRCUMSTANCES AND ON INDEMNIFICATION OF BOARD AND MANAGEMENT,5605
Election of Director - Eric Graveline,5100
Election of Director - Eric Graveline,5100
"To approve an adjournment of Graphite s special meeting, if necessary, to solicit additional proxies if there are not sufficient votes in favor of Proposal No. 1 and/or Proposal No. 2.",710
"To approve an amendment to the Second Amended and Restated Certificate of Incorporation of Presto Automation Inc. (the  Company ) to increase the total number of authorized shares of common stock, par value $0.0001 per share (the  Common Stock ), of the Company from 180,000,000 shares to 100,000,000,000 shares.",800
"To approve the issuance of shares of Common Stock in an amount in excess of 19.99% of the Company s outstanding Common Stock before the issuance of such shares, as required by and in accordance with Nasdaq Listing Rule 5635(d), pursuant to the terms of those certain Common Stock Purchase Agreements, dated November 17, 2023, by and between the Company and the purchasers named therein upon the operation of anti-dilution provisions contained in such agreements.",860
DETERMINATION ON THE APPROPRIATION OF THE COMPANYS NET PROFIT FOR THE         FINANCIAL YEAR OF 2023,5000
CHANGES IN THE COMPOSITION OF COMPANYS MANAGEMENT,5103
TO AUTHORIZE THE CHAIRMAN OF THE GENERAL ASSEMBLY TO APPOINT THE MEETINGS     SECRETARY AND VOTE COLLECTOR,5759
DETERMINATION OF THE AMOUNT OF SALARY OR HONORARIUM AND BENEFITS FOR THE      FINANCIAL YEAR 2024 AS WELL AS BONUS PAYMENT (TANTIEM) FOR THE FINANCIAL YEAR 2023 PAYABLE TO THE MEMBERS OF THE BOARD OF DIRECTORS AND THE BOARD OF        COMMISSIONERS OF THE COMPANY,5500
APPOINTMENT OF THE REGISTERED PUBLIC ACCOUNTING FIRM (INCLUDING THE           REGISTERED PUBLIC ACCOUNTANT PRACTICING THROUGH SUCH REGISTERED PUBLIC        ACCOUNTING FIRM) TO AUDIT THE COMPANY S BOOKS AND ACCOUNTS FOR THE FINANCIAL  YEAR ENDED ON 31 DECEMBER 2024,5220
GRANT OF POWERS AND AUTHORITY TO THE BOARD OF DIRECTORS TO PAY OUT INTERIM    DIVIDENDS FOR THE FINANCIAL YEAR ENDED ON 31 DECEMBER 2024,5000
Graham Carman,5100
Nick DeMare,5100
RELOCATION OF THE COMPANY S HEADQUARTERS. CONSEQUENTIAL AMENDMENT ARTICLE 1   OF THE STATUTE,6185
"TO PARTIALLY AMEND THE BYLAWS, DUE TO THE INCLUSION OF PARAGRAPH 3 TO ARTICLE 6, FOR CAPITAL STOCK INCREASE BY MEANS OF BOARD OF DIRECTORS RESOLUTION       REGARDLESS OF STATUTORY AMENDMENT AUTHORIZED CAPITAL, UNTIL THE CAPITAL STOCK OF THE COMPANY REACHES THE LIMIT OF 17,200,000,000 SEVENTEEN BILLION AND TWO  HUNDRED MILLION OF COMMON ANDOR PREFERRED SHARES, WITHOUT KEEPING A           PROPORTION AMONG THE SHARES OF EACH TYPE, OBSERVING THE MAXIMUM LIMIT DEFINED BY LAW, IN THE CASE OF PREFERRED SHARES",5824
"TO PARTIALLY AMEND THE BYLAWS IN ITS ARTICLE 21, WHICH DEALS WITH THE         COMPANYS AUDIT COMMITTEE, RENUMBERING IT TO ARTICLE 19 AND ADAPTING IT TO CMN RESOLUTION NO. 4,91021",6180
"Appoint a Director who is not Audit and Supervisory Committee Member Itano,   Nobuo",5100
"TO INCREASE THE LIMIT UNDER SECTION 180(1)(A) OF THE COMPANIES ACT, 2013      INTER ALIA FOR CREATION OF MORTGAGE OR CHARGE ON THE ASSETS, PROPERTIES OR    UNDERTAKING(S) OF THE COMPANY",5940
APPROVAL OF FINANCIAL STATEMENTS,5031
"RESOLUTION ON THE DISCHARGE OF THE MEMBERS OF THE BOARD OF DIRECTORS AND THE  CEO FROM LIABILITY FOR THE FINANCIAL PERIOD JANUARY 1, 2023 TO DECEMBER 31,   2023",5700
ELECTION OF MEMBER OF THE BOARD OF DIRECTOR: RE-ELECTION OF DR. ANDERS GERSEL PEDERSEN,5100
APPROVE ALLOCATION OF INCOME AND DIVIDENDS OF DKK 18.00 PER SHARE,5000
AMEND REMUNERATION POLICY (SPECIFICATION OF THE DEROGATION CLAUSE),5605
AMENDMENT OF ARTICLES OF INCORPORATION AMENDMENT OF ARTICLE 2,6185
PROPOSED APPROPRIATION OF PROFITS OR COVER OF LOSS IN ACCORDANCE WITH THE     ADOPTED ANNUAL REPORT,5000
PROPOSALS FROM THE BOARD OF DIRECTORS FOR: REMUNERATION REPORT 2023 FOR       INDICATIVE BALLOT,5600
Graham Carman,5100
Nick DeMare,5100
ELECT ANETTE CHRISTENSEN AS MEMBER OF COMMITTEE OF REPRESENTATIVES,5115
ELECTION OF DIRECTOR: CHERIE LEEDEN,5100
APPOINTMENT OF MR. RAJU LAL AS AN INDEPENDENT DIRECTOR OF THE COMPANY,5100
"APPROVE THE MERGER PROTOCOL AND JUSTIFICATION AGREEMENT, SIGNED BETWEEN THIS  COMPANY ABSORBING COMPANY AND BRAM BRADESCO ASSET MANAGEMENT S.A.             DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS ABSORBED COMPANY, INCLUDING    ITS ATTACHMENTS EQUITY VALUATION REPORTS AND RESPECTIVE BALANCE SHEETS OF THE COMPANY AND BRAM, IN COMPLIANCE WITH PROVISIONS OF ARTICLES 224 AND 225 OF    LAW NO. 6,40476 BRAZILIAN CORPORATION LAW",6201
ELECTION OF INSIDE DIRECTOR: CHO I JONGYOON,5100
AMENDMENT OF ARTICLES OF INCORPORATION,6184
PRESENTATION OF THE AUDITORS REPORT ON THE FINANCIAL STATEMENTS FOR THE       FISCAL YEAR ENDED ON 31/12/2023: THE ACCOUNTABILITY STATE AUTHORITY REPORT,5759
PROPOSALS FROM THE BOARD OF DIRECTOR: INDEMNIFICATION OF THE BOARD OF         DIRECTORS,5180
AMENDMENT OF ARTICLES OF INCORPORATION ARTICLE 11,6185
APPOINTMENT OF STATE-AUTHORISED ACCOUNTANT AND SUSTAINABILITY AUDITOR:        RE-ELECTION OF EY GODKENDT REVISIONSPARTNERSELSKAB CVR NR. 30700228,5200
POWER TO DISAPPLY PRE-EMPTION RIGHTS,5803
To approve the 2024 ESPP (as defined in the related proxy statement/prospectus).,320
ISSUE OF SHARES TO MR DAVID BOSHOFF UNDER TRANCHE 2 OF THE PLACEMENT,5800
APPROVAL FOR ISSUE OF NEW SHARES AND NEW OPTIONS UNDER THE TRANCHE 2          PLACEMENT,5800
THE CEO S REPORT AND CONSOLIDATED FINANCIAL STATEMENTS FOR 2023 PRESENTED,5759
OTHER MATTERS LAWFULLY RAISED,6393
THE PROPOSED ACQUISITION,6200
RE-ELECT LUCIEN CAYTAN AS DIRECTOR,5100
RE-ELECT LUCIEN CAYTAN AS DIRECTOR,5100
AUTHORISE MARKET PURCHASE OF ORDINARY SHARES,5838
APPOINT LEGAL REPRESENTATIVES,5759
